,Position,link,Company,Department,Location,desc
0,Chef de projet architecture (H/F),/VanCleef-Arpels/job/Paris-Chef-de-projet-architecture-%28HF%29-75/636280701/,Van Cleef & Arpels,Sales,"Paris, 75, FR","Correspondez-vous au profil ? 
 
 
Vous êtes titulaire d’un diplôme d’architecte ou architecte d’intérieur, et vous avez une expérience minimum de 8 ans (une expérience en retail serait un plus) ?
Vous êtes reconnue(e) pour votre flexibilité et votre esprit d’équipe ? 
Vous faites preuve de rigueur et vous avez le sens du détail ? 
Vous avez une bonne maitrise des outils Photoshop, Indesign, Autocad, et éventuellement Archicad ?
Vous avez de solides compétences techniques en mobilier et agencement ? 
Vous êtes organisé(e), avec une aisance en communication écrite et orale ?
Vous êtes parlez couramment anglais ? 
 
Si tel est le cas, n’hésitez pas à postuler ! 
 
Qu’attendons-nous de vous ?   
 
Rattaché(e) au Responsable Store Design, vous aurez pour mission principale la gestion de nos projets boutiques. 
Dans le cadre de vos missions, vous aurez également pour mission de faire évoluer le concept boutique en proposant de nouvelles adaptations pour enrichir l’expérience client.  Vous serez en charge de soutenir et accompagner les filiales, en développant des projets boutique et des outils de communication afin de garantir la bonne application du concept. 
 
Plus qu’un poste… une expérience ! 
Intégrer la Maison Van Cleef & Arpels, c’est avant tout rejoindre une équipe où le développement des collaborateurs est au cœur de notre ambition. Vous aurez ainsi l’opportunité d’une intégration complète avec des formations sur notre histoire, nos savoir-faire et créations, et un accompagnement au quotidien.
Le processus de recrutement

Postulez directement en ligne
Si votre profil est sélectionné, vous êtes contacté(e) par l’équipe RH pour un entretien dans nos locaux. Sinon, vous recevez un email vous informant du refus de votre candidature.
Vous rencontrez ensuite par étape l’équipe Ressources Humaines et la Responsable Store Design, puis la Directrice Store Design & Planning. 

"
1,CDD CHARGE DE METHODES ET INDUSTRIALISATION (H/F) - PARIS 1,/Cartier/job/PARIS-CDD-CHARGE-DE-METHODES-ET-INDUSTRIALISATION-%28HF%29-PARIS-1-75/636139201/,Cartier,Manufacturing,"PARIS, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Intégré(e) au sein du département développement du Pôle Joaillerie France et sous la responsabilité du Responsable industrialisation Produits Finis, vous serez amené à réaliser et piloter l’industrialisation des produits finis du pôle sur toute la durée de vie : Innovation, Nouveautés, Vie Série et si besoin sur les commandes spéciales.
 
Missions : 
 
 

Réaliser l’industrialisation des produits du pôle 

Être garant de la faisabilité en production des pièces industrialisées en respectant les codes esthétiques, les attendus qualité, les enjeux de coût et de planning
Définir la faisabilité technique des esthétiques
Définir les découpages techniques, chemin d’obtention des composants et assemblages 
Traiter l’analyse de risque process de son périmètre et contribuer à l’analyse de risque produit et projet
Piloter la réalisation des prototypes en conditions industrielles 
Reporter l’avancement du plan de levé de risque et des préséries process au Chef de Projet Nouveautés
Intégrer dans son industrialisation les retours de production 
Définir, valider et mettre à disposition de la production les outillages de contrôle, d'aide à la fabrication et de qualité
Définir, formaliser et suivre les gammes de fabrication, les nomenclatures, les temps gamme 
Être garant de la maitrise des temps de fabrication en ateliers internes et externes
Organiser les accompagnements des ateliers (internes & externes), 
Être garant de la création et l'archivage de données techniques 



 
 

Être référent dans un (ou plusieurs) domaine de compétence

Définir et rédiger des standards
Intervenir dans son domaine en support sur les projets le nécessitant
Faire évoluer les pratiques en fonction des situations vécues par l’équipe et des évolutions du domaine et en s’appuyant sur les référents et experts métier 
Réaliser / Participer aux projets d’amélioration du domaine



 
Profil recherché : 
 
 
Issu(e) d’une formation bac+2/+ 3 à Bac+5 (BTS Génie mécanique, production), vous justifiez d’une expérience significative en industrialisation dans le domaine de l’automobile, aéronautique ou nucléaire. Une expérience en Joaillerie serait appréciée.
Doté(e) d’un esprit d’analyse, vous appréciez le travail en équipe et faites preuve d’une rigueur et d’une capacité de synthèse. Vous êtes reconnu(e) pour votre capacité d’écoute et votre pédagogie.
 
    Lieu de travail : Paris 9ème 
    CDD à pourvoir dans le cadre d'un remplacement de congé maternité 
    Début : Dès que possible
"
2,Alternance - Assistant(e) Commercial(e) - See By Chloé,/Chloe/job/PARIS-Alternance-Assistant%28e%29-Commercial%28e%29-See-By-Chlo%C3%A9-J/635937701/,Chloé,Sales,"PARIS, J, FR","



Au sein du département commercial See By Chloé vous aurez pour principales responsabilités d’assister la responsable commerciale dans ses missions et sur la gestion du portefeuille clients.
 
   PRINCIPALES RESPONSABILITES :
 

Assister la gestion quotidienne des partenaires wholesale français (grands comptes et multimarques), livraisons, gestion des retours, échanges et réassorts.  
Analyser les taux de revente des grands comptes, mettre à jour les reportings hebdo, Analyser l’OFFRE DE LA concurrence ; les best/slow sellers ; le type de clientèle : nationalités
Mettre à jour des tableaux de pilotage de stock
Envoyer des tableaux de gestion de stock aux équipes terrain
Participer à l’organisation des showrooms
Mettre à jour les outils commerciaux (stock List)
Envoyer les informations relatives à la marque et aux collections
participer à l’organisation des voyages

 
      PROFIL REQUIS :
 

Etudiant(e) en Ecole de Commerce, ou formation supérieure équivalente, vous avez une première expérience de stage en service commercial et souhaitez approfondir vos compétences dans ce domaine au cours d’un stage.
Rigoureux, organisé, vous êtes également curieux, force de proposition et dynamique. Votre sens du détail et vos qualités relationnelles vous permettront d’être parfaitement à l’aise.
Bonne maîtrise des outils informatiques (Excel, Powerpoint, Word)
Bon niveau d’anglais.

 
ALTERNANCE – ASSISTANT(E) COMMERCIAL (E) H/F
BASE A : PARIS, FRANCE
DEPARTEMENT : SERVICE COMMERCIAL CHLOE
1 POSTE A POURVOIR EN JANVIER 2021




"
3,Stagiaire Assistant(e) Finance/Comptabilité (H/F),/Alaia/job/Paris-Stagiaire-Assistant%28e%29-FinanceComptabilit%C3%A9-%28HF%29-75/636081601/,Alaïa,Finance,"Paris, 75, FR","Quelles sont vos missions ?
 
Rattaché(e) au service Finance/Comptabilité, vos missions seront les suivantes : 
 
Comptabilité fournisseur

Compréhension de l'activité et des flux opérationnels chez AA SAS
Formation sur outils de gestion comptable (SAP) et gestion de production et stocks (Orliweb)
Aide au processus de validation des factures fournisseurs auprès des différents départements
Saisie de type de factures avec imputation analytique par centre de coûts sous supervision du responsable comptable
Participation à l’évolution de la structure analytique comptable de la Maison, en collaboration avec le contrôle de gestion

 
Projet SAP

Participation aux mises à jour des bases des masterdata fournisseur et clients selon le template requis, et contact avec les fournisseurs pour récupération des informations manquantes
Mise en place un flux de validation via l’outil SAP VIM PO, sous la supervision du responsable comptable

 
 
Notes de frais

Prise en charge du processus de validation et de paiement des notes de frais sur l’outil Notilus 
Saisie et réconciliation du relevé de cartes professionnelles selon le bordereau envoyé aux détenteurs de cartes 
Participation à la mise en place du nouvel outil Groupe (Concur) pour la saisie et comptabilisation des notes de frais à partir du mois de septembre

 
 
Quel profil recherchons-nous ?
 
Etudiant(e) en BAC+3 spécialisé en Compta/Finance, vous justifiez idéalement d’un premier stage dans ce domaine. 
Vous possédez une bonne maîtrise de l'outil informatique (Powerpoint, Excel, Word..). La connaissance de SAP est un plus.
Rigoureux (se), vous êtes doté(e) d’un très bon esprit d’analyse.
Curieux (se) et possédant un bon relationnel, vous faites preuve d’ouverture d’esprit.
Vous êtes à l’aise avec les chiffres, autonome et dynamique.
"
4,CDI - Analyste données Pôle Haute Joaillerie (H/F),/Cartier/job/Paris-75/636086501/,Cartier,Supply Chain & Logistics,"Paris, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'Horlogerie de Prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
En soutien à la production, et sous la responsabilité du coordinateur de données et projets du Pôle Haute Joaillerie, le Data Analyst est en charge de la gestion opérationnelle de ses données de référence : de la certification à l’enrichissement d’outils ou ERP. 
 
Vrai rouage du processus tout au long de la fabrication, le Data Analyst extrait et analyse également les données de performance de toutes les typologies de produits du Pôle Haute Joaillerie. 
 
Avec sa vision globale et son expertise système, c’est donc un réel support, pour les autres services, pour tout ce qui touche au Master Data Management.
 
 
MISSIONS
 

Données de références
 


Créer les références commerciales des produits 
Piloter et assurer leur certification 
Participer à l’enrichissement des outils et ERP tout au long du processus 
 
 


Données de performance consolidée
 


Participer à la vérification et à la correction mensuelle des données 
Produire, vérifier et diffuser les tableaux de bord du pôle
Extrait et met à disposition des planificateurs les portefeuilles par famille technologique
Produit et partage les analyses de données (focus performance identifiés en équipe et analyse globales)
 
 


Assurer la qualité de la donnée / Support Master Data Management
 


Traiter les anomalies issues des contrôles d’intégrité
Effectuer les corrections d’équipements
Contribuer aux actions de fond d’amélioration de la qualité de la donnée identifiées
Être en support du pôle pour toutes les questions ou problématiques relatives au Master Data Management.
Maintenir les modes opératoires à jour 
Back-up « coordinateur de données et projets »
 
 
Profil :


Aisance avec les chiffres, rigueur et précision. 
Capacité d’analyse, de synthèse, bonne adaptabilité.
Bonne maîtrise du Pack Office (Excel) et aisance avec les outils informatiques impérative. La maitrise de SAP, PLM, PEGA, serait un plus.

"
5,Stage - Conseiller(e) de Vente - La Vallée Village,/Chloe/job/Paris-Stage-Conseiller%28e%29-de-Vente-La-Vall%C3%A9e-Village-77/635597701/,Chloé,Sales,"Paris, 77, FR","Féminité, sensualité, énergie, éclat et romantisme, ces qualités sont aussi reconnaissables aujourd'hui dans les vêtements et les accessoires de Chloé, qu'elles l'étaient lors de la création de la Maison il y a 60 ans.
Le talent de Chloé pour faire évoluer son style tout en restant fidèle à ses valeurs a permis à la Maison de gagner son statut d'icone parmi les femmes les plus sophistiquées et attentives à la mode du monde.
Nous cherchons aujourd'hui pour notre outlet de La Vallée Village un(e) Conseiller(e) de Vente pour un stage d'un mois.
 
Quel sera votre rôle ?

Accueil et accompagnement de notre clientèle locale et internationale
Apprentissage du cérémonial de vente de la Maison Chloé
Support opérationnel à nos vendeurs
Maîtrise des procédures de la boutique
Missions de Visual Merchandising
Veille concurrentielle sur le secteur du luxe et de la mode

 
Ce poste est-il fait pour vous ?
Vous appréciez l'environnement multiculturel ainsi que l'univers de la mode et êtes reconnu(e) pour votre enthousiasme, votre réactivité, votre sens du contact et du service.
Une maîtrise de l'Anglais serait appréciée
"
6,CDD Gestionnaire Logistique (H/F),/Cartier/job/PARIS-75/635348001/,Cartier,Supply Chain & Logistics,"PARIS, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847.  
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier. 
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation.  
 
Nous sommes à la recherche d'un Gestionnaire Logistique (H/F), dans le cadre d'un CDD, qui aura pour fonction principale de préparer les composants et pierres requis par les ateliers pour la fabrication de pièces de joaillerie.
 
MISSIONS
 
Réceptionner les composants (pierres, fontes, composants usinés) sur le portefeuille de commande alloué : 

Compter et réceptionner les composants et pierres
Assurer le lien avec les équipe de contrôle qualité
Retourner les composants et pierres défectueux aux fournisseurs
Ranger les composants et pierres conformes dans le stock

 
Approvisionner les composants (pierres, fontes, composants usinés) sur le portefeuille de production alloué :

Servir les composants sur les Ordres de Fabrication : 

Identifier les ordres de fabrication à servir 
Lancer les Ordres de Fabrication, éditer les Ordres d’Achat, imprimer les étiquettes Produits Finis et les envoyer aux ateliers
Réaliser les kits des composants nécessaires à la réalisation d’un produit fini (mise à disposition physique des composants, sous forme de Kit)
Enregistrer les mouvements d’entrée et sortie à travers le système d’information (SAP)


Contribuer à la priorisation en fonction des urgences connues et des besoins de synchronisation, en particulier sur les nouveautés.

 
Assurer le transfert de stock sur les flux hors ordres de fabrication

Sur chaque flux, le gestionnaire doit identifier les composants à approvisionner, les transférer dans les temps définis et assurer le pilotage via reporting.

 
Etre garant du stock de composants 

Réaliser les inventaires composants du stock interne (inventaires tournants, mensuels et semestriels)
Alerter sur les ruptures de stock et les écarts constatés entre physique et informatique.
Respecter les règles de stockage défini.

 
Être force de proposition dans les démarches d’amélioration 

Participer aux séances Amélioration Continue hebdomadaires
Participer aux projets de transformation digitale

 
PROFIL
Diplômé(e) d’un Bac+2 en Logistique, vous justifiez d’une expérience confirmée, au sein d’un poste similaire. 
Votre rigueur, votre polyvalence, votre grand sens du service et de la confidentialité ainsi que votre esprit d’équipe vous permettront d’assurer pleinement la bonne tenue de ce poste.
La maîtrise de l’outil informatique est nécessaire et la pratique de SAP est un plus.
"
7,Stagiaire Evénementiel,/Cartier/job/Paris-Stagiaire-Ev%C3%A9nementiel-J/635021401/,Cartier,Management,"Paris, J, FR","
 
Numéro 1 mondial de la Joaillerie et n°2 de l'Horlogerie de Prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Cartier International recherche un(e) : 
Stagiaire Evénementiel
 
Début du stage : Février 2021
Durée : 6 mois
Lieu du stage : Paris 8ème
Convention de stage obligatoire
Gratification selon profil
 
L’objectif de ce stage est de compléter votre parcours académique par une expérience professionnelle stimulante au sein d’un environnement international : intégrez la Direction des Evènements Internationaux d’une prestigieuse Maison de luxe.
 
Description de la mission : 
 
Rattaché(e) au Département des Evénements Internationaux, vous serez encadré(e) par le directeur adjoint/Senior Responsable et travaillerez en support de différents Chefs de Projet sur les évènements à venir, notamment :
 

Lancement stratégique 2021
Event International Horloger
Evènement Corporate (CWI)
 
Vos missions sur ces deux évènements :

 Aide à la coordination logistique et production de l’évènement
Coordination avec les prestataires internes et externes
Mise à jour des documents et outils de travail sur toute la durée du projet (Power point, retro-planning, comptes rendus, listings participants, préparation des transports...) 
Tâches administratives diverse
 
Vous serez présent(e) sur le terrain lors de certains évènements, vous aiderez à la coordination des divers interlocuteurs, à la vérification du bon déroulement des étapes de montages et de démontages et soutiendrez les équipes présentes.
 
Profil recherché :
 
Etudiant(e) en école de commerce / communication / hôtellerie / Autres. 
Vous parlez couramment anglais. 
Vous êtes autonome, entreprenant et avez une excellente connaissance du Pack Office.
 
Vos qualités organisationnelles, votre flexibilité, adaptabilité, rigueur, bon relationnel, et votre dynamisme vous permettront de vous épanouir dans les missions qui vous seront confiées.
 
 



"
8,CDD - Chargé(e) d'Affaires Techniques Parfums,/Cartier/job/Paris-CDD-Charg%C3%A9%28e%29-d&apos;Affaires-Techniques-Parfums-J/634992901/,Cartier,Manufacturing,"Paris, J, FR","Cartier, whose name is synonymous with open-mindedness and curiosity, sees beauty in everything. Creativity, freedom and excellence are all central to its values. From jewelry and fine jewelry to watchmaking, accessories and perfumes : Cartier’s creations symbolize the fusion of exceptional savoir-faire and timelessness.
 
 
Chargé(e) d’Affaires Techniques Parfums - CDD
 
 
 
Votre mission
 
Au sein de la Direction Industrielle de la division Parfums et rattaché au Responsable Formulation, Affaires Règlementaires & Développement Durable, vous assurez le support technique parfums et dérivés cosmétiques sous différents aspects dans le respect des règles et principes de la Maison. 
 
 
Principales responsabilités
 

Suivi de développements formules et projets de reformulations (contexte IFRA)

 

Piloter les étapes opérationnelles à l’interface fournisseurs, sous-traitants, laboratoires externes et équipes internes
Assurer la relecture des documents d’impression (étuis et listes d’ingrédients, etc.)
Réaliser les montage des dossiers réglementaires électroniques et matières premières
Assurer un support dans la mise à jour des documentations techniques et de la base formules Coptis
Participer à la rédaction de processus internes 

 
 

Pilotage des recontrôles et support service clients côté Formules

 

Assurer la coordination interne des recontrôles des formules et concentrés
Piloter la tenue opérationnelle des échantillothèques 
Représenter le support technique auprès du service clients (questions formules : aspect, couleur, etc.)

 
 

Participation aux projets de développement durable du département 

 

Assurer le suivi de projets liés au développement durable Formules en totale collaboration avec l’équipe dédiée

 
 
 
Votre profil
 
Diplômé(e) d’un Master dans un domaine scientifique orienté parfums et cosmétiques, vous disposez d’une première expérience d’au moins 2 ans en affaires réglementaires ou en recherche et développement parfums ou cosmétiques.  Vous maîtrisez les référentiels réglementaires applicables aux cosmétiques et êtes familier des étapes de développement d’une formule (labo, pilote, stabilités, tests d’homologation). 
 
Orienté(e) résultats, vous disposez d’un excellent sens relationnel et êtes reconnu(e) pour votre rigueur et votre organisation. 
Vous faites enfin preuve d’une excellente maîtrise du pack office et parlez anglais couramment. 
"
9,COORDINATEUR SAV ET TRANSFORMATIONS (H/F),/Cartier/job/PARIS-75/634990001/,Cartier,Supply Chain & Logistics,"PARIS, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847.
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier.  
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation.   
 
Nous sommes à la recherche d'un(e) Coordinateur SAV et Transformations (H/F), qui aura pour fonctions principales :

Analyse de la faisabilité technique, économique et délai des demandes
Gestion des flux de rapatriements et de retours des pièces
Pilotage du développement ou de la remise en état de la pièce
Communication autour de son portefeuille au sein du pôle et vers les interfaces (commerciales/marchés/régions)

 
RESPONSABILITES
 
Analyser la faisabilité technique, économique et délai des demandes
 

Analyse la faisabilité de la demande avec le technicien support / les experts concernés
Participe à la stratégie d’attribution de la fabrication en lien avec les interlocuteurs pôle adéquats (experts, planification centrale, approvisionnements…)
Recherche d’historique des pièces si nécessaire (archives, catalogues, données informatiques)
Pilote la réalisation du devis
Consolide la proposition de réalisation pour réponse au service demandeur

 
Gérer les flux de rapatriement et de retour des pièces SAV
 

Enregistrement de toutes les pièces SAV/ES avec création de dossier individuel
Contrôle de cohérence de la documentation (factures proforma…) avec les pièces
Collaborer étroitement avec les équipes flux internes et plateforme pour assurer la tenue des délais logistiques

 
Pilotage du développement ou de l’intervention SAV sur la pièce
 

Construire avec les équipes et l’atelier un planning détaillé
Suivre les différentes étapes de fabrication et de validation
S’assurer que l’atelier possède l’ensemble des éléments au bon déroulement du projet (documentation, approvisionnement…)
Coordonner l’avancement de la pièce avec les ateliers, la création et les experts : solliciter les RDV de validation, diffuser les comptes rendus et veiller au respect du cahier des charges produit.
Assurer les interfaces avec les services internes
Mettre à jour les systèmes

 
 
Communiquer au sein du pôle et vers les interfaces
 

Suivre et communiquer l’avancement de son portefeuille et alerter en cas de dérives
Participer aux réunions de partage avec l’équipe commerciale + marchés/régions
Participer à l’analyse de la performance mensuelle de l’activité Commandes spéciales 

 
Profil :

Bac+5 Ecole de commerce ou d'ingénieur
3-5 ans d’expérience dans le pilotage de projet
Une première expérience dans la joaillerie serait un plus

 
Compétences/qualité requises :

Autonomie et capacité à prendre des décisions
Prise de recul et esprit de synthèse
Bonne communication notamment vers des interlocuteurs très différents (commerciaux, ateliers …)
Capacité à résister à la pression

 
 
"
